time,ax,ay,az,aT
2.1110,-1.3927,-0.5987,-0.3371,1.553
2.1130,-1.5032,-0.5161,-0.3114,1.620
2.1140,-1.6136,-0.4649,-0.2625,1.700
2.1790,-1.6233,-0.4712,-0.1936,1.701
2.1800,-1.6354,-0.4537,-0.0973,1.700
2.1800,-1.8842,-0.3170,-0.0932,1.913
2.1800,-1.9263,-0.2233,-0.1579,1.946
2.1810,-1.8431,-0.2320,-0.1741,1.866
2.1810,-1.7874,-0.2546,-0.1806,1.814
2.1810,-1.7234,-0.3364,-0.1272,1.761
2.1820,-1.6846,-0.4129,-0.0718,1.736
2.1820,-1.6351,-0.4696,0.0144,1.701
2.1820,-1.5438,-0.5903,0.0930,1.655
2.1830,-1.4922,-0.7153,0.1636,1.663
2.1830,-1.4352,-0.8374,0.2405,1.679
2.1840,-1.4351,-0.9187,0.3114,1.732
2.1840,-1.4730,-0.9713,0.3451,1.798
2.1840,-1.5346,-1.0360,0.3700,1.888
2.1850,-1.7133,-1.0746,0.3762,2.057
2.1910,-1.9159,-1.0968,0.4399,2.251
2.1950,-2.1419,-1.0715,0.5061,2.448
2.2000,-2.3576,-1.0104,0.4575,2.606
2.2050,-2.4815,-0.9734,0.4115,2.697
2.2100,-2.5710,-0.9102,0.3724,2.753
2.2140,-2.6335,-0.8808,0.2825,2.791
2.2190,-2.7358,-0.8637,0.1639,2.874
2.2230,-2.8253,-0.7991,0.0282,2.936
2.2470,-2.9207,-0.7324,-0.1332,3.014
2.2470,-2.9645,-0.6612,-0.3061,3.053
2.2470,-2.9683,-0.6521,-0.4794,3.077
2.2480,-2.8818,-0.6070,-0.6410,3.014
2.2480,-2.7479,-0.5688,-0.8672,2.937
2.2530,-2.4997,-0.5973,-1.0539,2.778
2.2570,-2.2399,-0.6588,-1.2326,2.640
2.2620,-1.9452,-0.7367,-1.3852,2.499
2.2680,-1.6400,-0.7955,-1.5597,2.399
2.2710,-1.3533,-0.8354,-1.6604,2.299
2.2770,-1.1051,-0.8207,-1.7529,2.229
2.2800,-0.9384,-0.7971,-1.8594,2.230
2.2850,-0.7965,-0.7432,-1.9548,2.238
2.2910,-0.6959,-0.6112,-2.0734,2.271
2.3170,-0.6534,-0.4850,-2.2166,2.361
2.3170,-0.5853,-0.3381,-2.3397,2.435
2.3180,-0.5152,-0.2113,-2.5465,2.607
2.3180,-0.4407,-0.1117,-2.8986,2.934
2.3180,-0.4021,0.0203,-3.3093,3.334
2.3190,-0.3200,0.1011,-3.6711,3.686
2.3240,-0.1535,0.0947,-3.8663,3.870
2.3300,-0.0368,0.0322,-3.8319,3.832
2.3330,0.0801,-0.0864,-3.6133,3.615
2.3380,0.1969,-0.2300,-3.3461,3.360
